시도,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,위험점수,체불_전체,체불_2025이후
세종,기타,638,11364,3216793400,315,233,0.17084639498432602,283068.760999648,0.024111228440689896,17.811912225705328,-0.23122117687950106,0,0
인천,기타,3722,67641,20439439900,1817,2054,0.1861902203116604,302175.3063970077,0.028614301976611817,18.1732939279957,-0.23199758706924264,0,0
강원,협회수리개인,341,12216,4590819720,554,326,0.2756598240469208,375803.8408644401,0.03601833660772757,35.82404692082111,-0.24462536676129043,0,0
전남,전문과학기술,1322,29601,10423295940,761,634,0.2972768532526475,352126.4801864802,0.02356339312861052,22.3910741301059,-0.262872642940758,1,0
울산,운수창고업,411,7513,2714179520,165,171,0.30656934306569344,361264.4110208971,0.022361240516438174,18.279805352798054,-0.2996752174418251,0,0
서울,운수창고업,3918,201247,80947693420,6142,4943,0.3343542623787647,402230.5595611363,0.027540783216644223,51.364726901480346,-0.32804767381358185,3,0
울산,전문과학기술,823,20972,7496876400,585,524,0.25394896719319565,357470.7419416365,0.026440015258439826,25.482381530984203,-0.366370858694576,1,1
부산,운수창고업,1523,38716,16234899680,927,945,0.3617859487852922,419333.0839962806,0.02417605124496332,25.420879842416284,-0.37495900775674085,2,1
전북,제조업,2882,57994,21248160280,1525,1400,0.26995142262317834,366385.49298203265,0.02521812601303583,20.122831367106176,-0.3829232015837872,6,2
전남,제조업,3317,64827,25196904340,1908,1941,0.2707265601447091,388679.16670523083,0.029686704613818317,19.543864938197167,-0.41431477259473665,7,4
울산,협회수리개인,184,5025,1764191760,156,110,0.21739130434782608,351082.93731343286,0.02646766169154229,27.309782608695652,-0.4373652854223991,0,0
경기,정보통신업,4579,133796,58718234900,3223,3004,0.35968552085608213,438863.9040031092,0.02327050136027983,29.219480235859358,-0.4736802254406091,9,1
부산,제조업,4987,97294,35699624860,2363,2577,0.23701624222979747,366925.2457499949,0.025386971447365715,19.509524764387407,-0.47536618157804567,13,7
광주,제조업,2128,58193,22635825040,1481,1310,0.2744360902255639,388978.486072208,0.023980547488529548,27.346334586466167,-0.4930661557388845,5,1
서울,수도하수폐기물,253,8357,2968614260,315,212,0.17391304347826086,355224.87256192416,0.031530453512025845,33.03162055335969,-0.5018560054391187,0,0
세종,제조업,512,19473,7813624160,742,502,0.240234375,401254.25769013504,0.031941662815179996,38.033203125,-0.5204088301306234,1,1
서울,정보통신업,11818,367854,148313981280,10218,9632,0.26535792858351664,403187.08313624427,0.02698081303995607,31.126586562870198,-0.5345440202955211,23,8
부산,보건사회복지,1133,50620,15670820620,2483,1704,0.01323918799646955,309577.64954563417,0.04135717107862505,44.67784642541924,-0.5634778119930499,0,0
대전,운수창고업,289,31403,12960934860,257,417,0.35294117647058826,412729.1933891666,0.010731458777823775,108.66089965397924,-0.5792439875177808,0,0
인천,제조업,6411,144678,56234899040,3340,3143,0.25003899547652475,388690.0499039246,0.022404926802969353,22.567150210575573,-0.5845481450786983,4,2
경기,수도하수폐기물,725,13500,5353410700,333,267,0.26068965517241377,396548.94074074074,0.022222222222222223,18.620689655172413,-0.5921362848640958,1,0
대구,제조업,3708,85838,31784296580,1752,1951,0.22141316073354908,370282.35257112235,0.021569701064796477,23.14940668824164,-0.5937250095369421,3,3
대구,보건사회복지,838,34389,10638134540,1399,1163,0.014319809069212411,309347.01619703975,0.03725028352089331,41.036992840095465,-0.622369042327406,0,0
대전,제조업,2013,55614,23389081500,1293,1089,0.28812717337307503,420561.03678929765,0.021415470924587333,27.627421758569298,-0.6293738150589933,1,1
충북,제조업,4508,126432,49329078260,3443,2947,0.21850044365572316,390162.91967223486,0.025270501138952163,28.04614019520852,-0.635561114939209,3,0
경남,보건사회복지,767,36456,11273211500,1279,1290,0.01303780964797914,309227.8774412991,0.03523425499231951,47.53063885267275,-0.6563345005403309,1,1
광주,보건사회복지,515,25635,7876439360,807,966,0.009708737864077669,307253.3395748001,0.034581626682270335,49.77669902912621,-0.6646293233340606,1,1
경기,제조업,40417,1019253,433954332100,22894,19674,0.2741915530593562,425757.22818573995,0.02088195963122012,25.218422940841727,-0.6979994464383231,61,18
전북,보건사회복지,487,21813,6683281940,598,677,0.022587268993839837,306389.85650758725,0.029225691101636638,44.790554414784395,-0.7060301464342178,0,0
대전,보건사회복지,490,20360,6287042980,676,620,0.012244897959183673,308793.85952848726,0.03182711198428291,41.55102040816327,-0.708573587284956,0,0
충남,보건사회복지,575,19165,6038310020,633,572,0.02608695652173913,315069.65927471954,0.03143751630576572,33.3304347826087,-0.7105618414105374,2,0
경기,보건사회복지,4148,153047,50099341120,6276,5479,0.009161041465766635,327346.1166831104,0.038403235607362446,36.896576663452265,-0.7171061977355465,3,0
울산,보건사회복지,292,11496,3649029660,387,394,0.00684931506849315,317417.3329853862,0.03396833681280445,39.36986301369863,-0.7384932806585222,0,0
충남,제조업,6049,199495,84236900460,5217,5285,0.21854852041659778,422250.68528033287,0.026321461690769193,32.97983137708712,-0.7561999060037357,7,1
전남,보건사회복지,464,22358,6866990300,596,572,0.021551724137931036,307137.9506217014,0.02612040432954647,48.185344827586206,-0.7609636357453095,1,0
인천,보건사회복지,960,41739,13592651820,1533,1382,0.008333333333333333,325658.3008696902,0.0349193799563957,43.478125,-0.7641001062654488,1,0
전남,전기가스,47,23077,12257559800,263,110,0.44680851063829785,531159.1541361528,0.008081639727867573,491.0,-0.7935597654637325,0,0
