시도,시군구,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,신호_저임금,신호_이직률,신호_영세성,위험점수,위험백분위,체불_전체,체불_2025이후
강원,평창군,건설업,140,859,277399320,156,56,0.5785714285714286,322932.8521536671,0.12339930151338765,6.135714285714286,-0.055,3.173,2.103,1.7401,99.3,0,0
전북,무주군,건설업,114,569,143787440,72,35,0.543859649122807,252702.0035149385,0.09402460456942004,4.991228070175438,1.237,2.057,1.841,1.7117,99.3,0,0
전북,진안군,건설업,114,573,144385460,68,34,0.5614035087719298,251981.60558464224,0.08900523560209424,5.026315789473684,1.252,1.866,1.974,1.6972,99.2,0,0
경남,산청군,건설업,217,1136,281216680,101,106,0.5345622119815668,247549.89436619717,0.09110915492957747,5.235023041474655,1.345,1.946,1.771,1.6876,99.1,0,0
전북,장수군,건설업,106,606,144402840,76,40,0.4716981132075472,238288.51485148515,0.09570957095709572,5.716981132075472,1.546,2.121,1.298,1.655,99.1,0,0
충남,서천군,건설업,130,874,287998240,160,62,0.5307692307692308,329517.43707093823,0.12700228832951946,6.723076923076923,-0.162,3.31,1.743,1.6302,99.0,0,0
전북,순창군,건설업,99,545,149355220,69,42,0.5151515151515151,274046.2752293578,0.1018348623853211,5.505050505050505,0.81,2.354,1.625,1.5961,99.0,0,0
강원,철원군,건설업,166,952,261537380,107,64,0.572289156626506,274724.1386554622,0.0898109243697479,5.734939759036145,0.797,1.897,2.056,1.5829,98.9,0,0
광주,광산구,숙박음식점업,87,733,160219040,80,70,0.3448275862068966,218579.86357435197,0.10231923601637108,8.425287356321839,2.001,2.372,0.343,1.5719,98.9,0,0
강원,삼척시,건설업,239,1647,554732440,301,111,0.5313807531380753,336813.8676381299,0.12507589556769885,6.891213389121339,-0.277,3.236,1.747,1.5689,98.8,0,0
경북,봉화군,건설업,170,1025,287495760,151,55,0.5235294117647059,280483.6682926829,0.10048780487804879,6.029411764705882,0.687,2.302,1.688,1.5593,98.8,0,0
울산,동구,건설업,81,902,315783520,116,131,0.49382716049382713,350092.59423503326,0.1369179600886918,11.135802469135802,-0.481,3.686,1.465,1.5567,98.7,0,0
강원,화천군,건설업,97,642,203514340,112,35,0.5257731958762887,317000.52959501557,0.11448598130841121,6.618556701030927,0.042,2.834,1.705,1.5272,98.7,0,0
강원,속초시,건설업,128,916,318516800,164,91,0.4609375,347725.76419213973,0.13919213973799127,7.15625,-0.445,3.773,1.217,1.5148,98.6,2,2
강원,고성군,건설업,137,863,274195200,133,64,0.5109489051094891,317723.29084588645,0.11413673232908458,6.299270072992701,0.03,2.821,1.594,1.4816,98.6,0,0
경기,연천군,건설업,130,718,235778580,104,63,0.5230769230769231,328382.4233983287,0.11629526462395544,5.523076923076923,-0.144,2.903,1.685,1.4814,98.5,1,0
경남,의령군,건설업,129,707,204478560,83,50,0.5426356589147286,289220.02828854317,0.09405940594059406,5.48062015503876,0.526,2.058,1.832,1.472,98.5,0,0
울산,북구,건설업,209,1924,689788360,496,111,0.3684210526315789,358517.85862785863,0.15774428274428273,9.205741626794259,-0.606,4.477,0.52,1.4638,98.4,0,0
강원,태백시,건설업,136,818,250565400,119,73,0.4485294117647059,306314.66992665036,0.11735941320293398,6.014705882352941,0.223,2.943,1.123,1.4299,98.3,0,0
전북,임실군,건설업,117,757,188454140,77,27,0.5470085470085471,248948.66578599735,0.06869220607661823,6.47008547008547,1.316,1.095,1.865,1.4251,98.3,0,0
경남,함양군,건설업,137,787,206245580,49,57,0.583941605839416,262065.54002541295,0.06734434561626429,5.744525547445256,1.045,1.043,2.143,1.4106,98.2,0,0
경북,김천시,건설업,336,2019,553047220,226,95,0.5476190476190477,273921.35710747895,0.07949479940564635,6.008928571428571,0.812,1.505,1.87,1.3955,98.2,1,0
전남,곡성군,건설업,127,643,171882500,61,37,0.5433070866141733,267313.37480559875,0.07620528771384137,5.062992125984252,0.941,1.38,1.837,1.3859,98.1,0,0
경남,남해군,건설업,99,543,167549920,64,27,0.5959595959595959,308563.38858195214,0.08379373848987108,5.484848484848484,0.184,1.668,2.234,1.3622,98.1,0,0
경북,성주군,건설업,177,979,256135640,97,55,0.5084745762711864,261629.86721144026,0.07763023493360573,5.531073446327683,1.054,1.434,1.575,1.3543,98.0,0,0
부산,남구,숙박음식점업,53,637,142024220,78,43,0.3018867924528302,222957.95918367346,0.09497645211930926,12.018867924528301,1.897,2.093,0.019,1.3363,98.0,0,0
경남,합천군,건설업,197,1227,366313720,138,77,0.5431472081218274,298544.18907905463,0.0876120619396903,6.228426395939087,0.358,1.813,1.836,1.3359,97.9,0,0
경남,거창군,건설업,178,1046,275401260,92,71,0.5,263289.92351816443,0.07791586998087954,5.876404494382022,1.021,1.445,1.511,1.3255,97.9,0,0
