스냅샷,시도,시군구,업종대분류,가입자수,위험점수,위험백분위,이직률,인당보험료
2026-05,경기,수원시,협회수리개인,12414,-0.9887,8.3,0.012647011438698244,467937.2772676011
2026-05,경기,시흥시,건설업,6103,0.7747,87.5,0.08749795182697034,362146.15762739634
2026-05,경기,시흥시,기타,12117,-0.151,37.2,0.02657423454650491,279173.4455723364
2026-05,경기,시흥시,도소매업,11512,0.1324,55.7,0.02992529534398888,330667.93954134814
2026-05,경기,시흥시,보건사회복지,5561,-0.8266,12.0,0.033447221722711744,318415.8784391297
2026-05,경기,시흥시,부동산업,2259,0.7851,87.8,0.0619743249225321,278887.5962815405
2026-05,경기,시흥시,수도하수폐기물,588,-0.5296,22.1,0.02040816326530612,439924.387755102
2026-05,경기,시흥시,숙박음식점업,991,0.8247,89.4,0.08072653884964683,268835.09586276487
2026-05,경기,시흥시,운수창고업,1217,0.488,79.1,0.03697617091207888,299665.9161873459
2026-05,경기,시흥시,전문과학기술,3693,0.5029,79.5,0.041158949363660984,294040.1949634444
2026-05,경기,시흥시,제조업,51113,-0.5731,20.4,0.020748146264159804,378613.96278833173
2026-05,경기,시흥시,협회수리개인,913,0.3192,69.4,0.03450164293537788,278077.152245345
2026-05,경기,안산시,건설업,6198,1.0391,94.2,0.10156502097450791,350256.7053888351
2026-05,경기,안산시,금융보험업,1150,-1.6347,1.1,0.00608695652173913,507947.8086956522
2026-05,경기,안산시,기타,16226,-0.1512,37.2,0.02739430543572045,279954.98459262913
2026-05,경기,안산시,도소매업,10127,0.2238,62.3,0.0315493235904019,316990.7060333761
2026-05,경기,안산시,보건사회복지,9299,-0.6933,17.0,0.04280030110764598,321921.4281105495
2026-05,경기,안산시,부동산업,3770,0.3571,72.1,0.026127320954907163,271608.40318302385
2026-05,경기,안산시,수도하수폐기물,986,-1.2963,4.0,0.02028397565922921,434987.3427991886
2026-05,경기,안산시,숙박음식점업,1208,0.9121,92.0,0.0836092715231788,266043.85761589406
2026-05,경기,안산시,운수창고업,2460,0.1765,58.9,0.028658536585365855,308969.47154471546
2026-05,경기,안산시,전문과학기술,7123,0.3184,69.2,0.04317001263512565,295697.9166081707
2026-05,경기,안산시,정보통신업,1001,0.8135,89.0,0.04395604395604396,289877.6823176823
2026-05,경기,안산시,제조업,72534,-0.7711,14.1,0.021617448369040726,393619.9332726721
2026-05,경기,안산시,협회수리개인,1280,0.4507,77.0,0.04765625,250589.921875
2026-05,경기,안성시,건설업,4868,1.2662,97.1,0.15591618734593263,400214.5645028759
2026-05,경기,안성시,금융보험업,720,-1.5098,1.9,0.010416666666666666,432831.9166666667
2026-05,경기,안성시,기타,4794,-0.166,36.3,0.03097622027534418,271980.4922820192
2026-05,경기,안성시,도소매업,5242,0.0215,48.3,0.032334986646318196,331910.27470431133
2026-05,경기,안성시,보건사회복지,1557,-0.9259,9.6,0.033076429030186254,345987.5144508671
2026-05,경기,안성시,부동산업,1662,0.3916,74.5,0.035499398315282794,300654.56077015644
2026-05,경기,안성시,숙박음식점업,594,0.7622,87.3,0.08585858585858586,255813.06397306398
2026-05,경기,안성시,운수창고업,3500,2.7335,99.8,0.18928571428571428,235673.95428571428
2026-05,경기,안성시,전문과학기술,2742,0.1606,57.8,0.047592997811816196,308861.4952589351
2026-05,경기,안성시,제조업,29194,-0.6985,16.8,0.029577995478522984,383849.25738165376
2026-05,경기,안성시,협회수리개인,683,0.127,55.3,0.050512445095168376,324804.39238653
2026-05,경기,안양시,건설업,7959,0.2541,64.6,0.07745947983415002,392779.39942203794
2026-05,경기,안양시,교육서비스업,675,0.2227,62.0,0.03777777777777778,268847.73333333334
2026-05,경기,안양시,금융보험업,1048,-0.9507,9.1,0.022900763358778626,462331.6603053435
2026-05,경기,안양시,기타,15691,-0.3164,30.1,0.021923395577082404,317717.98610668536
2026-05,경기,안양시,도소매업,12195,0.0074,47.5,0.026896268962689627,355818.80278802785
2026-05,경기,안양시,보건사회복지,7532,-1.0105,7.7,0.03345724907063197,356474.7822623473
2026-05,경기,안양시,부동산업,3779,-0.0884,41.3,0.032415983064302725,367029.3834347711
2026-05,경기,안양시,숙박음식점업,1143,0.9505,92.5,0.08617672790901137,260810.44619422572
2026-05,경기,안양시,운수창고업,3063,-0.3201,29.8,0.02497551420176298,364875.2203721841
2026-05,경기,안양시,전문과학기술,19260,-0.2509,32.7,0.02847871235721703,351659.31671858777
2026-05,경기,안양시,정보통신업,6261,-0.3015,30.8,0.027152212106692223,351033.2406963744
2026-05,경기,안양시,제조업,33566,-0.7475,15.3,0.01957337782279688,415341.5628910207
2026-05,경기,안양시,협회수리개인,1281,0.206,60.7,0.0351288056206089,287129.9609679938
2026-05,경기,양주시,건설업,3410,1.0941,95.0,0.11524926686217009,353679.6656891496
2026-05,경기,양주시,기타,6599,-0.0588,42.8,0.029549931807849674,251530.20154568873
2026-05,경기,양주시,도소매업,5494,0.3599,72.2,0.040498725882781215,292901.79468511103
2026-05,경기,양주시,보건사회복지,1817,-0.5917,20.1,0.04237754540451293,302788.22234452394
2026-05,경기,양주시,부동산업,945,0.9646,92.8,0.039153439153439155,263531.2380952381
2026-05,경기,양주시,숙박음식점업,700,0.8651,90.5,0.07,237233.08571428573
